word| Spanish| How to say
Оставьте  меня в покое!|¡Déjame en paz!|Дэхамэ эн паз!
Не трогайте меня!|No me toques!|Но мэ токес!
Я позвоню в полицию!|¡Voy a llamar a la policía!|Бой а ямар а полисиа!
Вор!|¡Ladrón!|Ладрон!
Помогите!|¡Ayuda!|Аюда!
Мне нужна ваша помощь|Necesito su ayuda|Нэцэсито су аюда
Это срочно|Es una emergencia|Эс уна эмэргэнсиа
Я потерялся(-ась)|Estoy perdido(-а)|Эстои пэрдидо(-а)
Я потерал(а) мою сумку|He perdido mi bolsa|Э пэрдидо ми болса
Я чувствую себя плохо|Me siento mal|Мэ сиэто маль
Я болен(-ьна)|Estoy enfermo(а)|Эстой энфэрмо(а)
Я поранился (ранен)|Estoy herido|Эстой эридо
Мне нужен доктор|Necesito un medico|Нэсэсито ун мэдико
Могу ли я воспользоваться Вашим телефоном?|¿Puedo usar su teléfono?|Пуэдо усар су тэлэфоно