number| Spanish| how to read
0|  cero|   серо		
1|	uno|	уно	
2|	dos|	дос	
3|	tres|	трес		
4|	cuatro|	куатро
5|	cinco|	синко|	
6|	seis|	сэис|		
7|	siete|	сиете|	
8|	ocho|	очо|	
9|	nueve|	нуеве|	
10|	diez|	дьес|	
11|	once|	онсе|		
12|	doce|	досе|	
13|	trece|	тресе|	
14|	catorce|каторсе|
15|	quince|	кинсе|	
16|	deciseis	
17|	decisiete
18|	deciocho
19|	vecinueve
20|	viente
21|	vientiuno
22|	vientidos	
30|	trenta	
40|	cuarenta
50|	cinquenta
60|	sesenta		
70|	setenta	
80|	ochenta	
90|	noventa
100|cien/ciento	
200|doscientos	
300|	trescientos	
1000|	mil	
2000|	dos mil	
1000000| un million	