word| Spanish| how to read
понедельник|	lunes|
вторник|	martes|
среда|	miercoles|
четверг|	jueves|
пятница|	viernes|
суббота|	sabado|
воскресенье|	domingo|


Месяцы| Los Meses| Лос Мэсеэс
январь|Enero| Энэро 
февраль|Febrero|Фэбреэро
март|Marzo|Марсо
апрель|Abril|Абриль
май|Mayo|Маё
июнь|Junio|Хунио
июль|Julio|Хулио
август|Agosto|Агосто
сентябрь|Septiembre|Сэптиэмбрэ
октябрь|Octubre|Октубрэ
ноябрь|Noviembre|Новиэмбрэ
декабрь|Diciembre|Дисиэмбрэ

Когда? | ¿Cuándo? |Куандо?
В феврале| En febrero| Эн фэбрэро
Первого декабря 2013-го года| El uno de diciembre de 2013| Эль уно дэ дисиэмбрэ дэ дос миль трэсэ
В две тысячи семнадцатом году| En el año dos mil diecisiete| Эн эль анё дос миль диесисиетэ
Какой сегодня день?| ¿Qué día es hoy?| Ке диа эс ой?
Понедельник, 26-го  мая| Es Lunes, veintiséis de mayo| Эс лунэс, бэинтисэис дэ маё